AOI1,AOI2,AOI3,AOI4,AOI5,AOI6,NOT AOI
7,16,20,10,5,7,188
2,17,12,23,11,5,264
0,21,35,28,5,7,266
5,8,10,0,1,11,107
2,2,4,3,12,13,111
0,10,8,4,9,9,95
13,9,5,13,13,15,198
4,4,12,11,18,7,119
9,23,31,13,11,22,299
1,11,11,19,19,7,140
16,16,32,30,21,16,345
1,3,7,10,9,8,160
6,14,13,21,30,10,238
8,23,20,18,9,10,273
9,20,21,23,21,12,313
4,15,30,17,7,8,227
5,18,15,20,15,23,230
5,15,25,16,13,14,240
10,10,17,20,1,9,275
10,14,7,14,15,7,166
11,8,5,6,12,12,252
11,8,5,6,12,12,252
13,9,31,18,19,11,312
4,26,10,12,5,11,221
23,31,31,7,3,6,228
19,15,37,20,10,17,320
14,16,11,16,26,19,298
21,45,47,31,21,4,354
15,19,48,25,23,12,392
17,33,58,33,25,8,440
