Page,Result ID,Result Number,Relevance,Query Language
1,3597,0,0,Chinese
1,5363,1,0,Chinese
1,3598,2,0,Chinese
1,5364,3,0,Chinese
1,3599,4,0,Chinese
1,5365,5,0,Chinese
2,3657,0,1,English
2,3658,1,0,English
2,3659,2,0,English
2,5421,3,0,English
2,5422,4,0,English
2,5423,5,0,English
3,3597,0,1,Chinese
3,3598,1,0,Chinese
3,3599,2,0,Chinese
3,3600,3,0,Chinese
3,3601,4,0,Chinese
3,3602,5,0,Chinese
4,5449,0,0,English
4,5450,1,1,English
4,5451,2,0,English
4,5452,3,0,English
4,5453,4,1,English
4,5454,5,0,English
5,5335,0,0,Chinese
5,5336,1,0,Chinese
5,5337,2,0,Chinese
5,3567,3,1,Chinese
5,3568,4,0,Chinese
5,3569,5,0,Chinese
6,3717,0,0,English
6,5477,1,1,English
6,3718,2,1,English
6,5478,3,1,English
6,3719,4,1,English
6,5479,5,1,English
7,3537,0,0,Chinese
7,3538,1,1,Chinese
7,3539,2,0,Chinese
7,5306,3,0,Chinese
7,5307,4,0,Chinese
7,5308,5,0,Chinese
8,3747,0,0,English
8,3748,1,1,English
8,3749,2,0,English
8,3750,3,0,English
8,3751,4,0,English
8,3752,5,0,English
9,5279,0,0,Chinese
9,5280,1,0,Chinese
9,5281,2,0,Chinese
9,5282,3,0,Chinese
9,5283,4,0,Chinese
9,5284,5,0,Chinese
10,5534,0,1,English
10,5535,1,0,English
10,5536,2,0,English
10,3777,3,1,English
10,3778,4,1,English
10,3779,5,0,English
11,3477,0,1,Chinese
11,5251,1,0,Chinese
11,3478,2,1,Chinese
11,5252,3,0,Chinese
11,3479,4,0,Chinese
11,5253,5,1,Chinese
12,3807,0,0,English
12,3808,1,0,English
12,3809,2,0,English
12,2176,3,0,English
12,2177,4,1,English
12,2178,5,0,English
13,3447,0,1,Chinese
13,3448,1,0,Chinese
13,3449,2,0,Chinese
13,3450,3,1,Chinese
13,3451,4,0,Chinese
13,3452,5,0,Chinese
14,2204,0,0,English
14,2205,1,0,English
14,2206,2,1,English
14,2207,3,0,English
14,2208,4,0,English
14,2209,5,1,English
15,5192,0,0,Chinese
15,5193,1,0,Chinese
15,5194,2,1,Chinese
15,3417,3,1,Chinese
15,3418,4,1,Chinese
15,3419,5,0,Chinese
16,3867,0,0,English
16,2231,1,1,English
16,3868,2,0,English
16,2232,3,0,English
16,3869,4,1,English
16,2233,5,0,English
17,4715,0,1,Chinese
17,4716,1,0,Chinese
17,4717,2,0,Chinese
17,6451,3,1,Chinese
17,6452,4,0,Chinese
17,6453,5,0,Chinese
18,3897,0,0,English
18,3898,1,0,English
18,3899,2,0,English
18,3900,3,1,English
18,3901,4,1,English
18,3902,5,1,English
19,6422,0,1,Chinese
19,6423,1,1,Chinese
19,6424,2,1,Chinese
19,6425,3,1,Chinese
19,6426,4,1,Chinese
19,6427,5,1,Chinese
20,2289,0,0,English
20,2290,1,0,English
20,2291,2,0,English
20,3927,3,1,English
20,3928,4,0,English
20,3929,5,0,English
21,4655,0,0,Chinese
21,6393,1,1,Chinese
21,4656,2,0,Chinese
21,6394,3,1,Chinese
21,4657,4,0,Chinese
21,6395,5,1,Chinese
22,3956,0,0,English
22,3957,1,1,English
22,3958,2,1,English
22,2318,3,0,English
22,2319,4,1,English
22,2320,5,0,English
23,4625,0,0,Chinese
23,4626,1,0,Chinese
23,4627,2,0,Chinese
23,4628,3,0,Chinese
23,4629,4,0,Chinese
23,4630,5,0,Chinese
24,2347,0,0,English
24,2348,1,0,English
24,2349,2,0,English
24,2350,3,0,English
24,2351,4,0,English
24,2352,5,0,English
25,6335,0,1,Chinese
25,6336,1,1,Chinese
25,6337,2,1,Chinese
25,4595,3,0,Chinese
25,4596,4,0,Chinese
25,4597,5,0,Chinese
26,4015,0,0,English
26,2376,1,1,English
26,4016,2,0,English
26,2377,3,0,English
26,4017,4,1,English
26,2378,5,0,English
27,4565,0,0,Chinese
27,4566,1,0,Chinese
27,4567,2,0,Chinese
27,2918,3,0,Chinese
27,2919,4,0,Chinese
27,2920,5,0,Chinese
28,4045,0,0,English
28,4046,1,0,English
28,4047,2,0,English
28,4048,3,0,English
28,4049,4,0,English
28,4050,5,0,English
29,2889,0,0,Chinese
29,2890,1,0,Chinese
29,2891,2,0,Chinese
29,2892,3,0,Chinese
29,2893,4,0,Chinese
29,2894,5,0,Chinese
30,2433,0,0,English
30,2434,1,0,English
30,2435,2,0,English
30,4075,3,0,English
30,4076,4,1,English
30,4077,5,1,English
